judul,abstrak,fakultas,bahasa,keywords,link
Uji Sitotoksisitas Ekstrak Biji Kopi Robusta (Coffea Canephora) Pada Sel Mononuklear Darah Tepi (PBMC),"Tanaman herbal dikenal mempunyai manfaat terhadap kesehatan dan sudah banyak diteliti efeknya seperti antikanker, anti mikrobial, antijamur, antioksidan serta antiinflamasi. Tanaman kopi robusta merupakan salah satu tanaman herbal yang banyak dikembangkan saat ini. Biji kopi robusta secara alami memiliki komponen bioaktif seperti flavonoid, trigonelline, kafein, asam klorogaenat dan polifenol yang memiliki aktifitas sebagai imunomodulator, antioksidan, antiinflamasi dan antibakteri. Tanaman ini dipercaya masyarakat tidak menimbulkan efek toksik, tetapi diduga juga secara ilmiah tanaman herbal ini secara alami memiliki efek toksik. Tanaman kopi hingga saat ini belum banyak dilakukan penelitian secara ilmiah untuk membuktikan toksisitasnya terutama pada ekstrak biji kopi robusta. Tujuan dari penelitian ini adalah untuk mengetahui Mengetahui apakah ekstrak biji kopi robusta (Coffea canephora) dengan konsentrasi 31,25 µg/ml, 62,5 µg/ml dan 125 µg/ml menunjukkan efek toksik terhadap sel mononuklear darah tepi (PBMC).  Jenis penelitian yang dilakukan adalah penelitian eksperimental laboratoris dengan rancangan penelitian adalah the posttest group design. Penelitian menggunakan ekstrak biji kopi robusta (Coffea canephora). Penelitian dilakukan pada bulan April 2018, bertempat di Laboratorium Bioscience. Pembuatan ekstrak biji kopi robusta (Coffea canephora) menggunakan metode maserasi, kemudian dilakukan pengenceran untuk memperoleh konsentrasi 31,25 µg/ml, 62,5 µg/ml dan 125 µg/ml. Konsentrasi 125 µg/ml ini digunakan sebagai konsentrasi tertinggi pada penelitian ini karena hasil penelitian pendahuluan dengan menggunakan konsentrasi 125 µg/ml, 250 µg/ml dan 500 µg/ml, menunjukkan bahwa konsentrasi 125 µg/ml merupakan konsentrasi yang tidak toksik pada sel PBMC. Isolat PBMC yang digunakan diambil dari darah vena perifer orang sehat. Isolat PBMC dibagi menjadi kelompok kontrol dan 3 kelompok perlakuan yaitu, kelompok perlakuan 1 (P1) adalah isolat PBMC dipapar dengan ekstrak kopi 31,25 µg/ml, kelompok perlakuan 2 (P2) adalah isolat PBMC dipapar dengan ekstrak kopi 62,5 µg/ml dan kelompok perlakuan 3 (P3) adalah isolat PBMC dipapar dengan ekstrak kopi 125 µg/ml. Setelah dilakukan eksperimen, viabilitas sel dihitung menggunakan mikroskop inverted perbesaran 400x (trypan blue) dan menggunakan ELISA reader (MTT). Data dianalisis menggunakan uji normalitas Shapiro-wilk dan uji homogenitas Levene, kemudian dilanjutkan uji parametrik One Way Anova dan uji beda LSD (Least Significance Difference). Hasil penelitian menggunakan trypan blue menunjukkan bahwa semua kelompok uji memiliki sifat sitotoksisitas yang berbeda terhadap sel PBMC. Jumlah rata-rata persentase sel tertinggi yaitu pada kelompok kontrol sebesar 91,07% sedangkan viabilitas sel PBMC terhadap ekstrak biji kopi robusta dengan konsentrasi 31,25 µg/ml, 62,5 µg/ml dan 125 µg/ml masing-masing sebanyak 75,19%, 67,7% dan 57,6%. Sedangkan hasil penelitian uji sitotoksisitas menggunakan MTT menunjukkan rata-rata persentase viabilitas sel PBMC terhadap ekstrak biji kopi robusta dengan konsentrasi 31,25 µg/ml menunjukkan viabilitas sel sebanyak 87,2%, pada konsentrasi ekstrak kopi 62,5 µg/ml sebanyak 79,4% dan konsentrasi 125 µg/ml sebanyak 74,2%. Kesimpulan dari penelitian ini didapatkan hasil bahwa dengan pengamatan menggunakan metode MTT menunjukkan bahwa ekstrak biji kopi yang bersifat non-toksik terhadap sel PBMC adalah konsentrasi 31,25 µg/ml, sedangkan konsentrasi 62,5 µg/ml dan 125 µg/ml bersifat sitotoksik lemah. Hasil penggunaan metode trypan blue, ekstrak biji kopi robusta konsentrasi 31,25  µg/ml dan konsentrasi 62,5 µg/ml bersifat sitotoksik lemah sedangkan konsentrasi 125 µg/ml menunjukkan sifat sitotoksik menengah terhadap sel PBMC. Viabilitas sel PBMC tertinggi terdapat pada konsentrasi 31,25 µg/ml dan viabilitas sel PBMC terendah terdapat pada konsentrasi 125 µg/ml",8,id,Kopi Robusta (Coffea canephora); Sel Mononuklear Darah Tepi (PBMC); Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/92403 
PERBEDAAN KEKUATAN TARIK BAHAN PELEKAT BRAKET DENGAN SISTEM PELEKATAN LANGSUNG ANTARA GELAS IONOMER HIBRID LIGHT-CURED DENGAN ETSA DAN DENGAN KONDISIONER,"Perawatan ortodonsi menggunakan piranti cekat merupakan perawatan di bidang kesehatan gigi dan mulut yang sedang banyak digunakan saat ini. Perawatan dilakukan dengan melekatkan braket secara langsung pada permukaan gigi menggunakan bahan pelekat. Oleh karena itu, pelekatan yang kuat antara braket dan permukaan gigi menjadi sangat penting untuk menunjang keberhasilan perawatan karena secara klinis piranti digunakan dalam proses kunyah dan bicara. Salah satu bahan pelekat braket yang ada di pasaran adalah semen gelas ionomer hibrid lightcured yang merupakan perkembangan dari semen gelas ionomer konvensional. Pelekatan semen pada permukaan gigi dapat ditingkatkan lagi dengan adanya perlakuan pada email sebelum aplikasi bahan pelekat, seperti penambahan bahan etsa asam fosfat 37% dan bahan kondisioner asam poliakrilat 10%. Kemampuan bahan pelekat secara klinis perlu diuji agar memenuhi persyaratan tertentu sehingga layak digunakan. Salah satu uji kelayakan yang biasa dilakukan adalah pengukuran kekuatan tarik. Tujuan Penelitian ini adalah untuk mengetahui perbedaan kekuatan tarik pada bahan pelekat braket dengan sistem pelekatan langsung antara semen gelas ionomer hibrid light-cured dengan etsa dan dengan kondisioner. Jenis penelitian ini adalah penelitian eksperimental laboratoris. Penelitian ini dilakukan di Laboratorium Metalurgi Institut Teknologi Sepuluh November Surabaya. Enam belas sampel gigi premolar pertama bawah diuji kekuatan tariknya menggunakan alat Universal Testing Machine. Braket yang melekat pada permukaan viii gigi ditarik hingga terlepas dari permukaan gigi dan dihasilkan kekuatan tarik dalam satuan kgf/cm2 yang kemudian dikonversikan pada satuan MPa. Data hasil penelitian dihitung dan dianalisis secara statistik. Data diuji normalitasnya menggunakan uji Shapiro-Wilk kemudian dilanjutkan menggunakan Levene’s test untuk mengetahui homogenitas data. Data terdistribusi secara normal dan homogen sehingga dapat dilakukan uji independent t-test. Dari uji tersebut didapatkan hasil bahwa data berbeda secara segnifikan dimana kekuatan tarik bahan pelekat braket pada gigi yang dietsa menggunakan asam fosfat 37% lebih tinggi daripada kekuatan tarik bahan pelekat braket pada gigi yang diberi bahan kondisioner asam poliakrilat 10%.",8,other,"KEKUATAN TARIK, PELEKAT BRAKET; Other",https://repository.unej.ac.id/handle/123456789/2828 
Pengaruh menyirih terhadap perubahan morfologi epitel mukosa rongga mulut pada wanita lansia di Puskesmas Pembantu di Desa Bedadung Kecamatan Pakusari Kabupaten Jember,"Menyirih merupakan kebiasaan mengunyah daun sirih yang dicampur dengan bahan-bahan seperti pinang, kapur, gambir, juga tembakau sebagai susur atau suntil yang banyak dilakukan oleh lansia  di Indonesia, khususnya di Jawa yang dipercaya dapat memperkuat gigi dan mengurangi kerusakan gusi.",8,id,menyirih; epitel; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/67346 
PERSEPSI IBU HAMIL YANG BERKUNJUNG  KE PUSKESMAS SUMBERSARI  SELAMA MASA KEHAMILAN   TERHADAP PENYAKIT PERIODONTAL,"Jaringan periodontal merupakan jaringan di rongga mulut yang sangat rentan terhadap keradangan. Ibu hamil merupakan salah satu kelompok rawan untuk menderita penyakit karies gigi dan penyakit periodontal. Dari hasil penelitian menunjukkan bahwa kejadian penyakit periodontal pada ibu hamil mencapai 71,8% dari 188 sampel ibu hamil. Dilakukan penelitian yang bertujuan untuk mengetahui persepsi ibu hamil terhadap penyakit periodontal. Penelitian dilakukan dengan jenis deskriptif observasional dengan pendekatan cross sectional. Penelitian dilakukan di Puskesmas Jember dan waktu penelitian dilaksanakan pada bulan Mei – Juli 2007. Sampel diambil secara aksidental sampling, dan sampel yang digunakan sebanyak 30 orang. Dilakukan identifikasi subyek penelitian yaitu dengan melakukan wawancara untuk memperoleh data umum dan data pendukung. Selanjutnya dilakukan pemeriksaan CPITN. Data dalam penelitian ini disajikan dalam bentuk tabel distribusi frekuensi. Hasilnya yaitu terdapat 26,7% ibu hamil yang menjawab benar tentang pengertian penyakit periodontal, terdapat 35,5% ibu hamil yang menjawab benar tentang etiologi penyakit periodontal, terdapat 30,6% ibu hamil yang menjawab benar tentang perawatan gigi dan mulut ibu hamil selama kehamilan, terdapat 23,3% ibu hamil yang menjawab benar tentang macam-macam gangguan kehamilan dan hubungannya dengan penyakit periodontal, terdapat 69,3% ibu hamil yang menjawab benar tentang bagaimana menjaga kebersihan gigi dan mulut, terdapat 92,2% ibu hamil yang menjawab benar tentang perilaku ibu hamil dalam menjaga kesehatan gigi dan mulut, terdapat 26,7% ibu hamil yang menjawab benar tentang sikap dan tindakan ibu hamil ketika mengalami gejala penyakit periodontal, terdapat 17 orang (56,7%) ibu hamil yang mempunyai penyakit periodontal.",8,other,BU HAMIL; Other,https://repository.unej.ac.id/handle/123456789/15998 
Profil Kesehatan Gigi Dan Mulut Berdasarkan Standar WHO Pada Masyarakat Kecamatan Sumbersari Kabupaten Jember,"Kesehatan gigi dan mulut masyarakat Indonesia masih merupakan hal yang perlu mendapat perhatian serius karena penyakit gigi dan mulut masih diderita oleh sebagian besar penduduk Indonesia. Kecamatan Sumbersari termasuk di wilayah kota dengan kondisi sosial, pendidikan, dan ekonomi masyarakat yang cenderung menengah ke atas, dan persentase pengalaman gangguan kesehatan gigi masyarakat Kecamatan Sumbersari yang tergolong tinggi. Jumlah puskesmas di Kecamatan Sumbersari juga masih di bawah target dan tidak memenuhi standar ideal rasio puskesmas per 30.000 penduduk serta merupakan yang terendah diantara 50 puskesmas di Kabupaten Jember. Penilaian status kesehatan gigi dan mulut yang menggambarkan profil kesehatan gigi dan mulut berdasarkan standar WHO menggunakan formulir terstandarisasi yang sesuai untuk merekam kesehatan gigi dan mulut secara klinis. Formulir terstandarisasi tersebut berguna untuk merekam kondisi gigi dan mulut meliputi status gigi geligi, status periodontal (perdarahan gingiva dan kedalaman poket), kehilangan perlekatan, fluorosis email, keparahan erosi gigi, lesi mukosa oral, kebutuhan perawatan segera, dan gigi tiruan",8,id,gigi; mulut; WHO; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/93345 
PENGARUH PERBEDAAN TEGANGAN ALAT RADIOGRAFI GIGI TERHADAP KUALITAS DENSITAS GAMBAR RADIOGRAFI PERIAPIKAL,"Pemeriksaan radiografi berperan penting dalam menentukan diagnosa, rencana dan evaluasi perawatan. Pengambilan film radiografi dengan kualitas gambar yang baik harus memenuhi salah satu faktor yaitu densitas. Densitas adalah nilai derajat kehitaman film yang ditentukan oleh banyaknya sinar-X yang dapat mencapai film setelah melalui jaringan tubuh dan berinteraksi dengan komponen bahan film radiografi. Sinar-X yang keluar dari alat radiografi gigi memiliki efek biologi. Radiasi dari sinar-X dapat menyebabkan perubahan biologi, menganggu kesehatan sel dan jaringan. Pemberian tegangan yang tepat dinilai bisa mengurangi paparan radiasi sinar-X di dalam tubuh. Penelitian ini bertujuan untuk mengetahui pengaruh perbedaan tegangan alat radiografi gigi terhadap kualitas densitas gambar radiografi periapikal. Penelitian eksperimental klinis pada mahasiswa dan pasien RSGM FKG UNEJ ini menggunakan 8 orang dengan kriteria obyek gigi yang dipapar sama (regio posterior bawah gigi molar satu permanen). Perlakuan pemberian tegangan sebesar 60 kVp, 65 kVp dan 70 kVp, output tegangan terkendali dipilih berdasarkan alat yang ada di instalasi radiologi RSGM UNEJ. Pengambilan foto radiografi periapikal menggunakan tehnik kesejajaran. Pengembangan film menggunakan larutan dan suhu pengembang sama dengan konsentrasi larutan 40%. Pengembangan film dilakukan dengan metode visual untuk mempermudah penelitian. Pembacaan data untuk mendapat angka densitas film radiografi dengan alat densitometer. Hasil pembacaan data selanjutnya dianalisis menggunakan uji statistik parametrik anova dan LSD test. Hasil penelitian menunjukkan kelompok perlakuan 60 kVp densitas berada pada nilai -0,2. Densitas gambar yang dihasilkan terang, tidak bisa dibaca. Kelompok perlakuan 65 kVp densitas berada pada nilai 0,2. Densitas gambar yang dihasilkan sedang, bisa dibaca. Kelompok perlakuan 70 kVp densitas berada pada nilai 2,11. densitas gambar yang dihasilkan gelap, tidak bisa dibaca. Tegangan 65 kVp merupakan nilai ideal dalam penelitian ini dikarenakan dosis paparan yang kecil dan memenuhi nilai densitas gambar yang baik. Tegangan 65 kVp dalam penelitian ini cocok untuk digunakan dalam pengambilan foto radiografi gigi karena dapat meminimalkan dosis paparan radiasi yang diserap oleh tubuh tanpa mempengaruhi kualitas gambar radiografi sehingga gambaran radiografi dapat dibaca atau diinterpretasikan dengan mudah.",8,other,RADIOGRAFI GIGI; Other,https://repository.unej.ac.id/handle/123456789/20754 
POTENSI EKSTRAK DAUN PANDAN WANGI (Pandanus amaryllifolius Roxb) TERHADAP KETEBALAN EPITEL   GINGIVA PASCA PENCABUTAN GIGI  TIKUS WISTAR,"RINGKASAN  Penelitian tentang potensi ekstrak daun Pandan Wangi (Pandanus amarylifollius Roxb) terhadap ketebalan epitel gingiva pasca pencabutan gigi pada tikus Wistar; Erma Yasinta, 091610101029, 2013; 61 halaman; Fakultas Kedokteran Gigi Universitas Jember.  Tindakan pencabutan gigi menyebabkan perlukaan dan kerusakaan jaringan pada jaringan sekitar gigi. Respon dasar kerusakan jaringan pada organ hidup adalah dengan beregenerasi dan mengganti bagian yang hilang atau rusak. Banyak ditemukan tanaman herbal di Indonesia, salah satunya daun Pandan Wangi yang mempunyai kandungan alkaloida, saponin, flavonoid, polifenol, tanin, dan zat warna. Zat-zat yang terkandung seperti saponin, flavonoid, dan tanin berfungsi sebagai stimulator dan meningkatkan  migrasi keratinosit serta meningkatkan keratinosit dalam memproduksi fibrinektin (Falanga, 2003). Penelitian ini merupakan penelitian eksperimental laboratoris pada tikus wistar jantan menggunakan rancangan penelitian the post test only control group design. Sebelum penelitian ini dilakukan, dilakukan pengurusan ethical clearance di Komisi Etik, Fakultas Kedokteran Gigi Universitas Gajah Mada. Sampel tikus Wistar Jantan dikelompokkan menjadi 2 kelompok secara acak masing-masing 12 tikus kelompok kontrol dan perlakuan. Daun Pandan Wangi diencerkan menjadi ekstrak daun Pandan Wangi dengan konsentrasi 40%. Hewan coba dianestesi menggunakan anesject kemudian dicabut gigi molar satu rahang kiri bawah. Pada kelompok kontrol langsung diberi aquades dan pada kelompok perlakuan diberi ekstrak daun Pandan Wangi senbanyak 2,5 ml/hari menggunakan sonde lambung secara intragastrik. Pengorbanan dilakukan pada hari ke-3, hari ke-7, dan hari ke-14 pasca pencabutan. Dilanjutkan dengan pengambilan jaringan dan difiksasi dengan larutan formaldehid 10% kemudian dilakukan prosesing jaringan dengan pewarnaan hematoksilin-eosin.  vii Pada peneletian ini didapatkan hasil bahwa pada kelompok hari ke-3, ketebalan epitel pada perlakuan (P) lebih tebal dibandingkan kelompok kontrol (K) tetapi tidak signifikan. Peningkatan ini disebabkan adanya zat dalam daun Pandan Wangi yang dapat berperan dalam peningkatan ketebalan epitel. Saponin memiliki fungsi sebagai activator dan sintesis TGF-β1 serta modifikasi  ekspresi reseptor TGF-β di fibroblast. Pada hari ke-7 dan hari ke-14 didapatkan hasil ketebalan epitel kelompok perlakuan (P) lebih tipis dibandingkan kelompok kontrol (K). Hal ini dimungkinkan karena Pada proses epitelisasi, sel pada stratum basalis akan membelah, berproliferasi dan berpindah ke permukaan epidermis. Setelah mencapai permukaan stratum korneum, sel berubah menjadi pipih dan mati (Potter, 2005). Epitel yang memperbarui diri akan merekonstruksi diri sendiri melalui tiga tahapan yang berkaitan, yaitu meningkatkan sel induk yang aktif membelah, meningkatkan  jumlah replikasi sel dan mengurangi siklus replikasi sel. Pengurangan siklus replikasi sel terjadi karena kapasitas proliferasi, dan rentang usia sel. Selain itu adanya konsep bahwa sel memiliki kemampuan terbatas untuk bereplikasi (Kumar, 2005).",8,other,daun Pandan Wangi (Pandanus amarylifollius Roxb); Other,https://repository.unej.ac.id/handle/123456789/4801 
HUB UNGAN DOWN SYNDROME DENGA N TINGKAT MATUR ITAS TUL ANG PHALANGES PADA ANAK LAKI-LAKI USIA 14 TAHUN,"Banyak faktor yang mempengaruhi pertumbuhan dan perkembangan anak. Secara garis besar faktor-faktor tersebut dapat dibagi menjadi 2 golongan, yaitu faktor dalam (internal) dan faktor luar (eksternal). Down Syndrome adalah individu yang perkembangannya lebih lambat dari anak yang normal yang terjadi akibat adanya jumlah kromosom 21 yang berlebih. Proses tumbuh kembang tidak bisa lepas dari pertumbuhan tulang, oleh karena itu status kematangan atau kedewasaan tulang dapat dipakai sebagai indikator tumbuh kembang. Penelitian ini bertujuan untuk mengetahui hubungan antara Down Syndrome dengan tingkat maturitas tulang phalanges pada anak laki-laki usia 14 tahun dan bagaimana maturitasnya. Penelitian dilakukan di Laboratorium Parahita Utama Jember. Jumlah subyek yang digunakan adalah 20 anak laki-laki usia 14 tahun, yang terbagi ke dalam 2 kelompok, masing-masing kelompok 10 subyek. Subyek kelompok I anak Down Syndrome dan kelompok II sebagai kontrol. Kemudian, masing-masing subyek diamati maturitas tulang phalanges-nya. Hasil yang diperoleh yaitu terdapat hubungan antara Down Syndrome dengan tingkat maturitas tulang phalanges pada anak laki-laki usia 14 tahun dan sebesar 70% anak Down Syndrome memasuki status fusi akhir. Hal ini terjadi oleh karena adanya pengaruh kelainan kromosom yang berlebih pada trisomi 21. Secara definitif tidak dapat ditentukan etologi pastinya, kemungkinan dipengaruhi oleh hormon pertumbuhan, hormon tiroid dan hormon androgen yang menyebabkan lebih cepat pada anak Down Syndrome usia 14 tahun antara epifisis dan metafisis menyatu lebih cepat sehingga lama pertumbuhan lebih singkat sehingga pemanjangan tulang tidak dapat terjadi lagi.",8,other,"DOWN SYNDROME,PHALANGES .; Other",https://repository.unej.ac.id/handle/123456789/4652 
INHIBISI EKSTRAK BIJI PINANG ( Areca catechu L.) TERHADAP PELEPASAN ION FOSFOR PADA PROSES DEMINERALISASI GIGI YANG DISTIMULASI Streptococcus mutans,"Karies gigi merupakan penyakit endemik di Indonesia dengan prevalensi yang cukup tinggi. Dalam bidang kesehatan mulut, masalah yang sering dihadapi adalah karies atau plak gigi, yang terdiri atas kumpulan bakteri yang berkembang biak dan melekat erat di permukaan gigi. Pada awal pembentukan plak, jenis kokus gram positif terutama Streptococcus merupakan jenis yang paling banyak dijumpai, di samping bakteri yang berbentuk batang. Jenis bakteri yang mempunyai kemampuan paling besar untuk membentuk polisakarida ekstraselular adalah Streptococcus mutans. Bakteri ini mempunyai kemampuan untuk mensintesis sukrosa, glukosa atau karbohidrat lain menjadi polisakarida ekstraselular dan asam. Bakteri ini juga dapat menurunkan pH menjadi 5,2- 5,5 dan menyebabkan demineralisasi gigi. Untuk menyiasati keadaan ini, maka dilakukan beberapa penelitian yang mampu menunjukkan bahwa salah satu bahan yang memiliki daya hambat terhadap pertumbuhan bakteri Streptococcus mutans adalah ekstrak biji pinang (Areca catechu L.). Analisis sebelumnya menyatakan bahwa buah pinang mengandung senyawa bioaktif yaitu flavonoid diantaranya tanin, yang dapat menguatkan gigi. Diduga tanaman pinang mengandung sejumlah komponen senyawa berbasis Selenium (Se) sebagai antibakteri. Tujuan dari penelitian ini untuk menganalisis inhibisi ekstrak biji pinang terhadap pelepasan ion fosfor pada proses demineralisasi gigi",8,other,INHIBISI EKSTRAK BIJI PINANG ( Areca catechu L.) TERHADAP PELEPASAN ION FOSFOR; Other,https://repository.unej.ac.id/handle/123456789/2793 
DAYA ANTIBAKTERI DEKOKTA KULIT BUAH DELIMA PUTIH (Granati fructus cortex) TERHADAP Streptococcus mutans,"Pada penelitian ini menggunakan kulit buah delima yang secara empiris telah banyak digunakan oleh masyarakat. Tanaman delima putih cukup unik karena semua bagian tumbuhan ini mempunyai komposisi kimia antara lain flavonoid, alkaloid, tanin yang bersifat sebagai bahan antimikroba. Penelitian terdahulu menyatakan bahwa ekstrak kulit buah delima putih bersifat antibakteri. Tidak menutup kemungkinan bahwa dekokta kulit buah delima putih bersifat antibakteri. Salah satu jenis bakteri dalam rongga mulut adalah Streptococcus mutans (S.mutans). Permasalahan yang dapat dirumuskan dari latar belakang tersebut yaitu apakah dekokta kulit buah delima putih memiliki daya antibakteri terhadap S.mutans dan berapakah konsentrasi efektif dekokta kulit buah delima putih sebagai antibakteri terhadap S.mutans? Tujuan dari penelitian ini adalah untuk mengetahui dekokta kulit buah delima putih memiliki daya antibakteri terhadap S.mutans dan konsentrasi efektif dekokta kulit buah delima putih sebagai antibakteri terhadap S.mutans. Penelitian ini merupakan penelitian eksperimental laboratoris dengan rancangan the post test only control group design. Sampel dibuat dengan menggunakan metode dekokta. Cara pembuatan larutan dekokta yaitu kulit buah delima putih yang kering digiling dan diayak menggunakan saringan mesh 60 yang berarti menghasilkan maksimal 250 mikron (ø 0,25mm) butiran serbuk. Serbuk kering ditimbang sebanyak 10 gram, dimasukkan kedalam tabung elenmeyer lalu ditambahkan akuades steril 100 ml dan akuades ekstra 20 ml. Campuran tersebut dimasukkan kedalam penangas air selama 30 menit terhitung mulai temperatur 90oC. Kemudian larutan dekokta disaring menggunakan kertas saring sampai habis. Hasil viii penyaringan ditambahkan akuades hingga volume akhir 100 ml. Larutan tersebut dinamakan dengan dekokta konsentrasi 100%. Selanjutnya dibuat 7 konsentrasi menggunakan metode pengenceran seri sampai dengan konsentrasi 1,56%. Setiap konsentrasi larutan dekokta ditambahkan 1ml media BHI-B dan suspensi 0,1 ml kemudian diinkubasi dengan anaerobic jar selama 24 jam pada temperatur 37oC. Setelah 24 jam dilakukan penanaman pada cawan petri yang diberi media BHI-A dan suspensi sebanyak 0,1 ml dan diratakan menggunakan spreader, selanjutnya diinkubasi dengan anaerobic jar selama 48 jam pada temperatur 37oC. Hasil pengamatan menunjukkan pada konsentrasi 100% sampai 6,25% terjadi kenaikan rerata koloni S.mutans dan pada konsentrasi 3,13% terjadi sedikit penurunan rerata koloni. Selanjutnya pada konsentrasi 1,56% terjadi kenaikan jumlah koloni S.mutans. Kesimpulannya adalah dekokta kulit buat delima putih memiliki daya antibakteri terhadap S.mutans. Konsentrasi dekokta kulit buah delima putih yang efektif sebagai antibakteri yaitu 100%.",8,other,"ANTIBAKTERI DEKOKTA, DELIMA PUTIH; Other",https://repository.unej.ac.id/handle/123456789/2848 
