judul,abstrak,fakultas,bahasa,keywords,link
PERBANDINGAN PENGGUNAAN POLY ALUMUNIUM CHLORIDE (PAC) DAN ALUMUNIUM SULPHATE (TAWAS) CAIR PADA PROSES PENGOLAHAN AIR BERSIH DI PDAM JEMBER,"PDAM Jember merupakan perusahaan daerah yang mengelola air bersih untuk warga Jember. PDAM Jember memanfaatkan air Sungai Bedadung sebagai air baku yang akan diolah menjadi air bersih. Pengolahan air bersih di PDAM Jember menggunakan Poly Alumunium Chloride (PAC) sebagai koagulan pada Instalasi Pengolahan Air (IPA) Tegal Besar dan tawas cair pada Instalasi Pengolahan Air (IPA) Tegal Gede untuk proses koagulasi – flokulasi. Penambahan kedua jenis koagulan dalam air baku yang sama masih belum efektif dan akan meningkatkan biaya produksi pengolahan air bersih. Dengan demikian upaya yang dilakukan untuk meminiimalkan biaya produksi pengolahan air bersih yaitu menganalisis dari tingkat efektifitas dan nilai ekonomis koagulan Poly Alumunium Chloride (PAC) dan tawas cair. Tujuan dari penelitian ini yaitu untuk mengetahui efektifitas koagulan PAC dan tawas cair dalam proses koagulasi – flokulasi dan membandingkan biaya penggunaan PAC dan tawas cair yang dilakukan pada kedua IPA PDAM Jember. Penelitian dilakukan pada bulan Januari – Maret 2015 pada musim hujan dengan lokasi pengambilan sampel air di IPA Tegal Besar dan IPA Tegal Gede, PDAM Jember. Perbandingan hasil uji kualitas air dilakukan sebelum dan sesudah proses koagulasi – flokulasi yang berdasarkan Peraturan Menteri Kesehatan Republik Indonesia Nomor 492/MENKES/PER/IV/2010 tentang persyaratan dan pengawasan kualitas air. Parameter yang digunakan yaitu parameter fisika meliputi kekeruhan, suhu, Total Suspended Solid (TSS), Total Dissolved Solid (TDS) dan parameter kimia meliputi pH. Hasil perbandingan efektifitas antara Poly Alumunium Chloride (PAC) dan tawas cair menunjukkan penggunaan PAC lebih efektif daripada tawas cair pada proses koagulasi – flokulasi, hal tersebut dapat dilihat dari rata – rata nilai efisiensi kekeruhan penggunaan PAC sebesar 95% dalam menurunkan kekeruhan air baku dan rata – rata nilai efisiensi kekeruhan penggunaan tawas cair sebesar 93% tetapi setelah di analisis menggunakan uji t tidak terdapat perbedaan secara signifikan. Perbandingan biaya untuk penggunaan PAC lebih besar dari tawas cair, karena harga PAC yang mahal dan penggunaan dosis yang sama, namun jika penggunaan dosis PAC lebih optimum maka biaya akan lebih ekonomis daripada tawas cair.",8,id,Poly Aluminium Chloride (PAC); Alumunium Sulphate (Tawas) Cair; Pengolahan Air Bersih; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/72459 
Produksi xylitol secara mikrobiologis dari nira tebu dengan aplikasi saccharomyces cerevisiae. Pichia ohmeri dan gluconobacter thailandicus dalam bentuk sel bebas dan imobil menggunakan busa,"Penggunaan sukrosa sebagai salah satu jenis pemanis sangat disukai oleh masyarakat pada umumnya. Namun, masyarakat masih belum menyadari dampak buruk pemanis jenis sukrosa. Oleh karena itu perlu dicari jenis pemanis lain yang dapat menggantikan sukrosa yang ramah terhadap kesehatan. Salah satu pemanis yang paling cocok adalah xylitol. Saat ini, xylitol masih diproduksi secara kimia sehingga relatif mahal. Metode alternatif untuk memproduksi Xylitol adalah secara mikrobiologis menggunakan nasi tiga jenis mikroba yaitu saccharomyces cerevisiae, Pichia oh ri, dan gluconobacter thailandicus dengan teknik aplikasi immobilisasi menggunakan busa dalam media nira tebu. Penelitian dilakukan dengan nira tebu yang difermentasikan secara bertahap oleh saccharomyces revisiae, Pichia ohmeri dan Gluconobacter Thailandicus dalam bentuk sel bebas dan sel amobil menggunakan busa. Parameter yang diamati adalah pertumbuhan sel mikroba dengan metode optical density, pH media dan kadar sukrosa, glukosa, aitol, serta Xylitol. Setiap media fermentasi baik untuk S. cerevisiae P.ohmeri, G. thailandicus diinkubasi pada waterbath shaker dengan kecepatan 75 rpm, 30oC selama 72 jam dan dilakukan pengambilan sample pada jam ke 0, 12, 24, 48 dan 72. Parameter yang diamati meliputi sukrosa, glukosa arabitol dan Xylitol Hasil penelitian menunjukkan bahwa produksi Xylitol tertinggi tjd pd lama fermentasi 72 jam baik u/ sel bebas dan sel terimmobilisasi dg kadar Xylitol masing-masing sebesar 7,02 ml niar tebu dan 6,75 ppm/ml nira tebu. Disamping itu pada akhir fermentasi terjadi penurunan kadar sukrosa, glukosa dan nilai pH media fermentasi.",8,other,"xylitol, nira tebu, saccharomyces cerevisiae, Pichia ohmeri dan gluconobacter thailandicus; Other",https://repository.unej.ac.id/handle/123456789/17519 
INSERSI HURDLE TECHNOLOGY PADA HOME INDUSTRY  PENGOLAHAN TAHU DENGAN PENAMBAHAN  EKSTRAK KUNYIT DAN PERENDAMAN   DALAM LARUTAN JERUK NIPIS,"Tahu bersifat mudah rusak (busuk). Apabila disimpan pada kondisi biasa (suhu ruang) daya tahannya rata-rata 1 – 2 hari. Untuk memperpanjang umur simpannya, seringkali produsen tahu menambahkan bahan pengawet. Namun yang terjadi adalah produsen tahu menambahkan bahan pengawet kimia dalam dosis berlebihan bahkan ada juga produsen tahu yang menambahkan bahan pengawet tidak diizinkan seperi formalin. Oleh karena itu perlu dikembangkan teknologi pengolahan pangan yang layak dan mudah diadopsi oleh industri skala rumah tangga (home industry) tahu tanpa merubah alur proses yang biasa dilakukan yaitu hurdle technology. Hurdle technology berprinsip pada treatment pengawetan yang efektif atau mengkombinasikan perlakuan yang mempunyai efek sinergis sehingga diperoleh produk tahu yang aman, mempunyai performa yang lebih baik dan daya tahan lebih lama. Penerapan hurdle technology pada proses pengolahan tahu dapat dilakukan dengan mengkombinasikan penambahan ekstrak kunyit dan perendaman dalam larutan jeruk nipis pada penyimpanan suhu dingin. Adapun tujuan dari penelitian ini yaitu untuk mengetahui daya simpan dan performa tahu hasil insersi hurdle technology pada home industry pengolahan tahu serta untuk menentukan kelayakan secara ekonomi dari hasil insersi hurdle technology pada home industry tahu. Penelitian ini dilakukan dengan membuat tahu tanpa insersi hurdle technology dan tahu dengan insersi hurdle technology pada home industry pengolahan tahu. Insersi hurdle technology dilakukan dengan menkombinasikan penambahan ekstrak kunyit 5% (b/b) dan perendaman dalam larutan jeruk nipis pH 3,5 pada penyimpanan suhu ruang dan suhu dingin. Selanjutnya diamati sifat-sifat tahu tanpa insersi hurdle technology sebagai kontrol dan tahu hasil insersi hudle technology, kemudian data yang diperoleh diploting dalam bentuk tabel dan grafik dan dianalisa secara deskriptif. Insersi hurdle technology pada home industry pengolahan tahu dengan perlakuan penambahan ekstrak kunyit 5 % (b/b) dan perendaman dalam larutan jeruk nipis dapat memperpanjang umur simpan tahu, yaitu menghambat peningkatan kadar air, A , TVB, dan total mikroba, mempengaruhi sifat fisik, kemis dan sensoris, menurunkan derajat putih, nilai pH, tekstur dan total protein serta sedikit menurunkan nilai sensoris warna, aroma, tekstur dan rasa. Insersi hurdle technology pada home industry pengolahan tahu memiliki B/C ratio sebesar 1,53 sehingga layak untuk dijalankan secara ekonomis.",8,other,"Hurdle Technology, Home Industry  , Ekstrak Kunyit; Other",https://repository.unej.ac.id/handle/123456789/5118 
PENGARUH JENIS DAN KONSENTRASI BAHAN PENGGUMPAL TERHADAP SIFAT-SIFAT TAHU KEMAS,"Hasil penelitietn memperlihatkan hahwa jenis bahan penggumpal berpengaruh terhadap rendemen, kadar air, kadar abu, kadar protein, protein recovery, warna, rasa dan kenampakan irisan pada tahu kemas, sedangkan konsentrasi bahan penggumpal berpengaruh terhadap rendemen, kadar abu, protein recovery, warna dan tekstur pada tahu kemas. Sifat-sifat tahu kemas yang baik adalah tahu kemas dengan kombinasi A3B2 (bahan penggumpal CaSO4 dengan konsentrasi 5%3 dengan rendemen 43,44%, kadar air 69,88%, kadar abu 0,90%, kadar protein 12,23%, protein recovery 47,69%, warna 65,65, tekstur 40,07 0,1 mm/ 10detik, skor rasa 3 (suka) dan kenampakan irisan baik.",8,id,BAHAN PENGGUMPAL; TAHU KEMAS; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/75063 
PENGARUH KETEBALAN KEMASAN DAN SUHU PENYIMPANAN TERHADAP UMUR SIMPAN JAMUR MERANG (Volvariella volvacea),"Jamur Merang (Volvariella volvacea) merupakan salah satu komoditas tanaman hasil pertanian yang mempunyai nilai ekonomi dan permintaan pasar tinggi. Dalam keadaan segar, jamur merang memiliki umur simpan relatif singkat. Salah satu upaya untuk memperpanjang umur simpannya adalah dengan mengemas jamur merang segar menggunakan plastik polietilen. Namun ketebalan plastik polietilen dan suhu penyimpanan yang digunakan perlu dikaji lebih mendalam sehingga memperoleh umur simpan jamur merang yang panjang. Tujuan penelitian adalah mengetahui pengaruh ketebalan kemasan polietilen dan suhu penyimpanan terhadap laju perubahan kadar air, berat, tekstur, kecerahan dan kadar alkohol serta umur simpan jamur merang. Selain itu, untuk memperoleh tebal pengemas polietilen dan suhu penyimpanan jamur merang yang tepat. Penelitian ini menggunakan Rancangan Acak Kelompok 2 faktor yaitu perlakuan ketebalan kemasan A: 0,3; 0,5 dan 0,7 mm dan suhu penyimpanan B: suhu ruang dengan RH 63-90% dan suhu dingin (4º – 8º C) dengan RH 85-90%. Perlakuan diulang sebanyak 3 kali. Parameter pengamatan meliputi laju perubahan kadar air, berat, tekstur, kecerahan (lightness) dan kadar alkohol. 1. Hasil penelitian menunjukkan bahwa ketebalan kemasan polietilen (0,3; 0,5 dan 0,7 mm) tidak berpengaruh terhadap laju penurunan kadar air, berat, tekstur dan kecerahan jamur merang dalam kondisi vakum selama penyimpanan. Sedangkan suhu penyimpanan berpengaruh sangat nyata terhadap laju penurunan kadar air, berat dan tekstur namun tidak berpengaruh terhadap kecerahan jamur merang. Umur simpan jamur merang disimpan pada suhu ruang lebih singkat dibanding penyimpanannya pada suhu dingin. Jamur merang yang pada suhu ruang hanya bertahan 6 hari, sedangkan yang viii disimpan pada suhu dingin bertahan hingga 14 hari. Adapun selisih laju penurunan kadar air, berat, tekstur dan kecerahan antara penyimpanan suhu ruang dan suhu dingin berturut-turut adalah sebesar 1,2 %/hari ; 0,59 g/hari; 18,12 g/5mm/hari dan 0,2/hari. Meskipun secara statistik tidak terdapat interaksi antara ketebalan plastik polietilen dan suhu penyimpanan, namun berdasarkan data pengamatan terdapat perbedaan umur simpan antara jamur merang yang dikemas polietilen 0,3 mm dan 0,7 mm. Jamur merang yang dikemas polietilen 0,7 mm memilki umur simpan lebih lama yaitu 14 hari dengan laju penurunan kadar air, berat, tekstur dan kecerahan berturut-turut sebesar 1,4 %/hari; 0,8 g/hari; 18,7 g/5mm/hari; 1,1/hari dan alkohol mulai dihasilkan pada hari ke-17 penyimpanannya.",8,other,Umur Simpan Jamur Merang (Volvariella volvacea);; Other,https://repository.unej.ac.id/handle/123456789/6160 
PEMBUATAN TEPUNG JAMUR TIRAM (pleurotus ostreatus) DENGAN VARIASI TEMPERATUR DAN LAMA PENGERINGAN,"Hasil penelitian menunjukan temperatur pengeringan berpengaruh terhadap kadar air, kadar abu, kadar protein total, rendemen tepung, derajat kecerahan, wama, rasa, flavor, tekstur, tetapi berpengaruh tidak nyata terhadap kadar lemak. Lama pengeringan berpengaruh terhadap kadar air, kadar protein total, rendemen tepung, derajat kecerahan, warna, rasa, flavor, tekstur, tetapi berpengaruh tidak nyata pada kadar abu dan kadar lemak. Ada interaksi antara temperatur pengeringan dan lama pengeringan.",8,id,TEPUNG JAMUR TIRAM; VARIASI TEMPERATUR; Diploma Report,https://repository.unej.ac.id/handle/123456789/75192 
Pemanfaatan whe bran dan wheat pollard untuk produksi alkohol,Dampak gandum merupakan hasil sampingan atau by product dari proses penggilingan biji gandum.,8,id,BRAN dan WHEAT; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/70529 
PERUBAHAN KARAKTERISTIK MIOFIBRIL KERING IKAN KUNIRAN (Upeneus sp.) YANG DIEKSTRAK DENGAN ENZIM PAPAIN SELAMA PENYIMPANAN,"Ikan kuniran merupakan salah satu hasil perikanan yang pemanfaatannya belum optimal, karena biasanya hanya dikonsumsi langsung sebagai lauk-pauk. Ikan Kuniran mempunyai komposisi gizi yang lengkap dengan kandungan protein 15,43% dari seluruh total gizi yang dikandungnya. Protein ikan dibedakan menjadi miofibril, sarkoplasma dan stroma. Miofibril merupakan protein dengan prosentase paling besar yaitu 70-80%. Salah satu cara memisahkan protein miofibril dari protein lainnya dengan hidrolisis enzimatis menggunakan enzim papain. Penelitian ini bertujuan untuk mengetahui pengaruh suhu penyimpanan terhadap tingkat kerusakan miofibril kering serta mengetahui cara penyimpanan yang tepat miofibril kering ikan Kuniran. Hasilnya diharapkan dapat memberikan informasi bagi pihak-pihak yang membutuhkan dan dapat meningkatkan nilai ekonomi ikan Kuniran. Miofibril kering yang diperoleh pada tahap prerarasi sampel disimpan pada suhu yang berbeda-beda yaitu suhu kamar, kulkas dan freezer, yang selanjutnya dianalisa angka peroksida (Peroxide Value), uji TBA (Thiobarbituric Acid), warna dan daya gelasi untuk dapat diketahui perubahan karakteristiknya selama penyimpanan. Pengolahan data dilakukan secara deskriptif. Hasil penelitian menunjukkan bahwa angka peroksida sebagai indikator awal kerusakan miofibril pada minggu pertama penyimpanan menunjukkan kenaikan, selanjutnya turun kembali pada minggu-minggu berikutnya, sedangkan banyaknya mmol/kg MDA (Malonaldehida acid) yang bereaksi dengan oleh reagen TBA semakin lama penyimpanan semakin banyak. Warna semakin lama penyimpanan semakin memucat dan tekstur gel semakin lunak. Pemakaian antioksidan terbukti dapat menghambat proses oksidasi penyebab ketengikan. Dari ketiga cara penyimpanan yang menggunakan antioksidan, proses ketengikan yang terjadi relatif lebih lambat daripada yang tidak menggunakabn antioksidan. Perubahan karakteristik miofibril kering ikan Kuniran yang terjadi pada penyimpanan suhu freezer relatif lebih kecil daripada penyimpanan suhu kamar dan kulkas. Hal ini menunjukkan bahwa penyimpanan miofibril kering ikan Kuniran yang paling aman adalah pada suhu freezer.",8,other,"Perubahan, Karakteristik, Ikan Kuniran, Ketengikan dan Penyimpanan; Other",https://repository.unej.ac.id/handle/123456789/14044 
Formulasi Flavor Enhancer Dari Hidrolisat Protein Ikan Wader (Rasbora Jacobsoni),"Konsumsi MSG yang melebihi batas aman konsumsi dapat dapat mengakibatkan terjadinya stres oksidatif pada organ hepar (hati). Pemberian MSG dengan dosis 4 mg/g BB/hr pada mencit jantan selama 30 hari mengakibatkan terjadinya perubahan struktur hepatosit (sel hepar) berupa degenerasi parenkimatosa, degenerasi hidropik dan nekrosis. Oleh karena itu perlu dilakukan suatu alternatif pembuatan flavor enhancer hasil hidrolisis enzimatis dari ikan air tawar yang lebih aman dikonsumsi. Tujuan dari penelitian ini adalah : 1) Mendapatkan formula terbaik yang dapat diterima oleh konsumen berdasarkan karakteristik  organoleptiknya  dan  2)  Menentukan   perlakuan   penggunaan hidrolisat protein ikan wader sebagai ingredien pada pembuatan flavor enhancer berdasarkan karakteristik fisik dan kimianya. Penelitian ini dilakukan dengan membuat flavor enhancer hidrolisat protein ikan wader (Rasbora  jacobsoni) yang ditambahkan  ingredien  berupa garam, gula, bubuk bawang putih, CMC dan STPP. Perbandingan konsentrasi hidrolisat ikan wader dan ingredien yang ditambahkan yaitu (P1) 100% Hidrolisat Protein; (P2) 80% Hidrolisat Protein : 20% Ingredien; (P3) 60% Hidrolisat Protein: 40%  Ingredien; (P4) 50% Hidrolisat  Protein : 50% Ingredien; (P5)  40% Hidrolisat Protein: 60% Ingredien; dan (P6) 20% Hidrolisat Protein: 80% Ingredien; (P7) 100% Ingredien. Ketujuh perlakuan tersebut selanjutnya dilakukan pengujian organoleptik dan diambil 3 (tiga) perlakuan terbaik menggunakan uji efektifitas. Tiga perlakuan terbaik hasil uji efektifitas dilakukan pengamatan analisis fisik yaitu daya emulsi, stabilitas emulsi dan indeks kelarutan air serta analisis kimia yaitu analisis proksimat (kadar air, protein, lemak, abu dan karbohidrat), kadar gula reduksi. Data yang diperoleh dianalisis secara deskriptif. Setiap perlakuan penelitian dilakukan pengulangan sebanyak 3 kali. Data hasil pengamatan ditampilkan dalam bentuk tabulasi dan grafik batang untuk melihat kecenderungan atau trend terhadap perlakuan parameter yang diamati. Hasil dari penelitian ini adalah didapatkan tiga perlakuan terbaik antara perbandingan hidrolisat protein ikan wader dengan ingredien (CMC, bubuk bawang putih, gula, STPP dan garam) yaitu perlakuan P4, P5 dan P6. Perlakuan yang tepat pada pembuatan flavor enhancer hidrolisat protein ikan wader berdasarkan nilai efektifitas secara keseluruhan parameter adalah perlakuan P4 dengan hasil karakteristik kimia yang meliputi kadar air sebesar 6,03%; kadar abu sebesar 19,76%; kadar protein sebesar 11,14%; kadar lemak sebesar 2,43%; kadar karbohidrat sebesar 67,44%; kadar gula pereduksi sebesar 30,90%; daya emulsi sebesar 20,70 m2/g; stabilitas emulsi sebesar 141,20 menit; indeks kelarutan air 0,059 gr/ml.",8,id,Formulasi Flavor Enhancer; Hidrolisat Protein Ikan Wader; Rasbora Jacobsoni; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/75910 
STUDI SIFAT REOLOGI PUREE BUAH NAGA PUTIH (Hylocereus undatus),"Buah naga putih (Hylocereus undatus) merupakan buah tropis yang memiliki kulit buah berwarna merah dan daging buah berwarna putih. Buah ini memiliki berbagai macam manfaat bagi kesehatan yang membuat permintaan pasar buah naga semakin tinggi. Hal tersebut membuat budidaya dan industri pengolahan buah naga semakin meningkat. Salah satu bentuk hasil olahan bahan pangan berbasis buah dan sayuran yang paling digemari masyarakat adalah pembuatan jus (Dehbi et al., 2013). Proses pembuatan jus buah sering kali diawali dengan proses pembuburan (puree) yang dilanjutkan dengan proses pemisahan antara pulp dan sari buah. Pemahaman tentang sifat fisik puree buah tersebut sangat diperlukan sebagai data dasar untuk merancang metode dan peralatan penanganan serta pengolahannya. Salah satu sifat fisik puree buah yang relevan dengan tujuan tersebut adalah sifat reologi yang direpresentasikan oleh viskositasnya. Oleh karena itu penelitian sifat reologi buah naga ini perlu dilakukan. Penelitian ini dilakukan di laboratorium Enjiniring Hasil Pertanian Jurusan Teknik Pertanian, Fakultas Teknologi Pertanian, Universitas Jember. Kegiatan penelitian ini dilaksanakan pada bulan Januari sampai Maret 2015. Penelitan dimulai dengan proses pengumpulan bahan, pencucian dan pengupasan, serta pengecilan ukuran. Puree buah naga putih selanjutnya diukur viskositasnya dengan mengkondisikan konsentrasi (10, 12, dan 14%TS), suhu (20, 25, dan 30°C), dan kecepatan putar spindel (0,5; 1; 2,5; dan 5RPM). Data sifat reologi yang meliputi viskositas, nilai shear rate, shear stress, nilai konstanta (k), dan flow index (n) didapatkan dari analisis secara grafik dan statistic. Uji validitas dilakukan untuk menguji model power law dengan menggunakan Root mean square error (RMSE), nilai regresi (R2), dan Mean Relative Percent Error (P).Hasil Penelitian berdasarkan parameter yang telah diukur didapatkan hubungan antara konsentrasi dan viskositas puree buah naga putih. Semakin besar konsentrasi puree buah naga putih nilai viskositasnya akan semakin meningkat. Nilai viskositas pada suhu yang lebih rendah memiliki nilai yang lebih besar. Sedangkan pada suhu yang lebih tinggi nilai viskositas puree buah naga putih memiliki nilai paling rendah. Hubungan antara viskositas dan kecepatan spindel menunjukkan nilai viskostas yang lebih besar pada kecepatan putar spindel yang lebih rendah. Hasil analisis reologi puree buah naga putih memilii karakteristik fluida non-newtonian jenis pseudoplastic. Analisis Data estimasi dan observasi diperoleh perbedaan yang tidak berbeda jauh. Nilai RMSE yang paling baik pada konsentrasi 10%TS yaitu 0,0003, dengan suhu pengukuran 20°C, sedangkan data yang paling jauh prediksinya yaitu pada pada konsentrasi 14% dengan suhu pengukuran 30°C. Nilai R² menunjukkan nilai antara 0,8884 hingga 0,9915. Sedangkan nilai P menunjukkan persen tingkat kesalahan suatu data, pada penelitian ini tingkat kesalahan yang tertinggi ada pada konsentrasi 14%TS dengan suhu 30°C yaitu 17,3793%.",8,id,Reologi; Puree; Buah Naga; Hylocereus undatus; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/66698 
